,Model,Precision,Recall,F1-Score,Accuracy,Method,Prompt_Version,Query_Template,Examples_Method,Temperature
294,MISTRAL_NEMO,0.7123,0.7462,0.7206,0.7512,one-shot,2,2,2,0.2
295,MISTRAL_NEMO,0.7107,0.7485,0.7206,0.7501,one-shot,2,2,2,0.5
296,QWEN2,0.7237,0.7402,0.7206,0.7512,few-shot,1,1,2,0.2
297,LLAMA3,0.7093,0.7697,0.7204,0.7273,few-shot,1,2,2,0.5
298,GEMMA2-9B,0.7739,0.6935,0.7203,0.7587,one-shot,1,1,2,0.2
299,QWEN2.5_14B,0.7023,0.7698,0.7202,0.7356,many-shot,2,1,2,0.2
300,LLAMA3.1,0.734,0.7089,0.72,0.7395,few-shot,1,1,2,0.5
301,MISTRAL_NEMO,0.714,0.7261,0.7196,0.7542,one-shot,1,2,1,0.5
302,PHI3_MEDIUM,0.7114,0.7699,0.7196,0.7412,one-shot,3,2,2,0.2
303,MISTRAL_NEMO,0.787,0.6903,0.7191,0.7792,one-shot,3,2,1,0.0
304,QWEN2.5_14B,0.7012,0.7709,0.719,0.7335,many-shot,2,1,2,1.0
305,MISTRAL_NEMO,0.7516,0.6988,0.7189,0.7614,one-shot,1,1,1,0.0
306,MISTRAL_NEMO,0.7479,0.7,0.7188,0.7457,many-shot,2,1,1,0.5
307,MISTRAL_NEMO,0.7238,0.7203,0.7188,0.7368,few-shot,3,2,1,0.5
308,QWEN2.5_14B,0.7006,0.7684,0.7186,0.7335,many-shot,2,1,2,0.0
309,LLAMA3,0.7093,0.7418,0.7184,0.7347,many-shot,3,2,2,0.2
310,MISTRAL_NEMO,0.7732,0.6974,0.7183,0.7582,few-shot,2,1,2,0.2
311,LLAMA3,0.7044,0.758,0.7182,0.7303,many-shot,2,2,2,0.5
312,GEMMA2-9B,0.7084,0.7646,0.7179,0.7378,one-shot,3,2,2,0.5
313,GEMMA2-9B,0.7153,0.7387,0.7177,0.7421,few-shot,2,1,1,0.0
314,GEMMA2-27B,0.7091,0.7384,0.7177,0.7507,zero-shot,3,2,,0.0
315,MISTRAL_NEMO,0.7078,0.7301,0.7177,0.7311,many-shot,1,1,1,0.5
316,PHI3_MEDIUM,0.7096,0.7675,0.7176,0.74,one-shot,3,2,2,0.0
317,GEMMA2-9B,0.7083,0.7627,0.7174,0.7383,one-shot,3,2,2,1.0
318,GEMMA2-27B,0.7087,0.7394,0.7174,0.7496,zero-shot,3,2,,0.5
319,LLAMA3,0.7249,0.787,0.7174,0.7288,few-shot,3,2,2,0.2
320,GEMMA2-27B,0.7088,0.7379,0.7172,0.7501,zero-shot,3,2,,0.2
321,MISTRAL_NEMO,0.7177,0.7289,0.717,0.7399,many-shot,1,1,2,0.5
322,GEMMA2-9B,0.7199,0.7617,0.7167,0.7398,many-shot,3,2,1,1.0
323,PHI3_MEDIUM,0.7093,0.7572,0.7166,0.7416,one-shot,3,2,2,0.5
324,MISTRAL_NEMO,0.7735,0.697,0.7165,0.756,few-shot,2,1,2,0.0
325,MISTRAL_NEMO,0.7094,0.7267,0.7165,0.74,many-shot,3,2,1,0.5
326,GEMMA2-27B,0.7101,0.7382,0.7164,0.7523,few-shot,1,2,2,0.5
327,MISTRAL_NEMO,0.7001,0.7548,0.7162,0.7396,few-shot,1,2,2,1.0
328,MISTRAL_NEMO,0.7079,0.7412,0.716,0.7469,one-shot,2,2,2,0.0
329,MISTRAL_NEMO,0.7432,0.6989,0.7159,0.7577,one-shot,1,1,1,0.2
330,MISTRAL_NEMO,0.7177,0.7175,0.7156,0.7446,many-shot,3,2,2,1.0
331,LLAMA3.1,0.7224,0.7121,0.7151,0.7362,few-shot,2,1,2,0.2
332,GEMMA2-9B,0.7068,0.7464,0.7151,0.7324,few-shot,1,1,1,0.2
333,GEMMA2-27B,0.7083,0.7355,0.7149,0.7523,few-shot,1,2,2,0.2
334,GEMMA2-9B,0.707,0.746,0.7147,0.7329,few-shot,1,1,1,0.0
335,GEMMA2-9B,0.7227,0.7588,0.7143,0.7378,many-shot,3,2,1,0.0
336,MISTRAL_NEMO,0.7404,0.7179,0.7133,0.7462,few-shot,1,1,2,0.5
337,MISTRAL_NEMO,0.781,0.6844,0.7132,0.7732,one-shot,3,2,1,0.2
338,LLAMA3.1,0.7167,0.7124,0.713,0.727,few-shot,2,1,2,0.5
339,GEMMA2-27B,0.7067,0.7333,0.713,0.7507,few-shot,1,2,2,0.0
340,QWEN2,0.7175,0.7305,0.712,0.7442,few-shot,1,1,2,0.5
341,QWEN2,0.6966,0.744,0.7115,0.7335,many-shot,2,1,2,0.2
342,GEMMA2-9B,0.7181,0.7547,0.7112,0.7351,many-shot,3,2,1,0.5
343,LLAMA3,0.7102,0.7904,0.711,0.7148,few-shot,2,2,2,0.0
344,GEMMA2-27B,0.7057,0.7311,0.7108,0.7426,one-shot,2,2,1,1.0
345,GEMMA2-9B,0.7186,0.7555,0.7107,0.734,many-shot,3,2,1,0.2
346,PHI3_MEDIUM,0.6982,0.7543,0.7101,0.7286,many-shot,3,2,2,1.0
347,GEMMA2-27B,0.7059,0.7275,0.7097,0.7431,one-shot,2,2,1,0.5
348,GEMMA2-27B,0.7054,0.7272,0.7095,0.7421,one-shot,2,2,1,0.2
349,MISTRAL_NEMO,0.7579,0.6874,0.7093,0.7566,one-shot,2,1,1,0.0
350,QWEN2.5_14B,0.6952,0.7735,0.7089,0.7217,few-shot,2,1,1,0.0
351,GEMMA2-9B,0.7088,0.7106,0.7089,0.7172,few-shot,1,1,2,0.2
352,GEMMA2-27B,0.7046,0.7265,0.7083,0.741,one-shot,2,2,1,0.0
353,LLAMA3.1,0.7509,0.7005,0.708,0.7496,many-shot,3,2,2,0.0
354,GEMMA2-27B,0.7015,0.7284,0.7077,0.7458,few-shot,1,2,2,1.0
355,LLAMA3,0.7071,0.7592,0.7073,0.6986,few-shot,1,2,2,1.0
356,QWEN2,0.7102,0.7316,0.707,0.7378,few-shot,1,1,2,1.0
357,GEMMA2-9B,0.7053,0.7301,0.707,0.7319,few-shot,2,1,1,1.0
358,GEMMA2-9B,0.711,0.7548,0.7068,0.7285,zero-shot,3,2,,1.0
359,QWEN2,0.6918,0.7412,0.7068,0.7286,many-shot,2,1,2,0.5
360,MISTRAL_NEMO,0.7285,0.6925,0.7068,0.7371,few-shot,2,1,1,1.0
361,GEMMA2-27B,0.7123,0.7077,0.7066,0.7585,many-shot,1,2,2,1.0
362,QWEN2,0.7116,0.7479,0.7066,0.7308,many-shot,2,2,2,0.2
363,LLAMA3,0.6885,0.7406,0.7065,0.7141,one-shot,1,1,2,0.0
364,LLAMA3.1,0.747,0.7037,0.7064,0.7453,few-shot,3,2,2,0.2
365,MISTRAL_NEMO,0.6948,0.7324,0.7063,0.7194,few-shot,1,2,1,1.0
366,MISTRAL_NEMO,0.6894,0.7466,0.7061,0.7276,many-shot,2,2,1,1.0
367,MISTRAL_NEMO,0.707,0.7412,0.7061,0.7324,one-shot,1,2,2,0.0
368,QWEN2,0.6913,0.7386,0.7061,0.7281,many-shot,2,1,2,0.0
369,QWEN2.5_14B,0.6925,0.7702,0.706,0.719,few-shot,2,1,1,0.2
370,GEMMA2-9B,0.6972,0.7396,0.706,0.7238,few-shot,1,1,1,0.5
371,LLAMA3.1,0.7498,0.6968,0.7059,0.7474,many-shot,3,2,2,0.5
372,GEMMA2-9B,0.7029,0.7258,0.7057,0.7303,few-shot,2,1,1,0.5
373,MISTRAL_NEMO,0.7051,0.7065,0.7056,0.7458,one-shot,2,2,1,1.0
374,LLAMA3.1,0.7472,0.7012,0.7056,0.7448,few-shot,3,2,2,0.0
375,QWEN2,0.6988,0.7417,0.7054,0.7308,few-shot,2,1,1,0.2
376,MISTRAL_NEMO,0.7715,0.677,0.7053,0.7641,one-shot,3,2,1,0.5
377,LLAMA3,0.6866,0.7415,0.7052,0.7136,one-shot,1,1,2,0.5
378,GEMMA2-27B,0.6992,0.7276,0.7052,0.7421,few-shot,2,2,2,0.2
379,GEMMA2-27B,0.6968,0.7486,0.705,0.7303,zero-shot,1,2,,0.0
380,GEMMA2-27B,0.6986,0.7358,0.7048,0.7292,one-shot,1,1,1,0.0
381,QWEN2,0.7045,0.7276,0.7047,0.7344,few-shot,2,1,2,1.0
382,GEMMA2-9B,0.7047,0.7058,0.7046,0.7177,few-shot,1,1,2,0.5
383,GEMMA2-27B,0.6964,0.7485,0.7045,0.7297,zero-shot,1,2,,0.2
384,GEMMA2-9B,0.7098,0.7541,0.7045,0.7258,zero-shot,3,2,,0.5
385,GEMMA2-9B,0.7083,0.753,0.7045,0.7258,zero-shot,3,2,,0.0
386,GEMMA2-27B,0.7039,0.7182,0.7044,0.7452,many-shot,2,2,2,1.0
387,QWEN2.5_14B,0.699,0.7825,0.7044,0.7168,many-shot,1,1,1,1.0
388,QWEN2,0.6992,0.7399,0.7043,0.7303,few-shot,2,1,1,0.0
389,LLAMA3.1,0.7472,0.6978,0.7043,0.7464,many-shot,3,2,2,0.2
390,GEMMA2-9B,0.7061,0.704,0.7041,0.7145,few-shot,1,1,2,0.0
391,GEMMA2-9B,0.6947,0.7407,0.7041,0.7222,few-shot,1,1,1,1.0
392,GEMMA2-27B,0.6959,0.7484,0.704,0.7297,zero-shot,1,2,,0.5
393,MISTRAL_NEMO,0.6907,0.7474,0.7039,0.7227,many-shot,1,2,2,1.0
394,LLAMA3,0.7128,0.7691,0.7037,0.7122,few-shot,3,2,2,0.5
395,QWEN2,0.6989,0.7357,0.7037,0.7319,few-shot,1,1,1,0.0
396,GEMMA2-27B,0.6959,0.7492,0.7037,0.7286,zero-shot,1,2,,1.0
397,LLAMA3,0.6853,0.7378,0.7035,0.7125,one-shot,1,1,2,0.2
398,GEMMA2-27B,0.7095,0.7031,0.7034,0.756,many-shot,1,2,2,0.0
399,QWEN2.5_14B,0.6898,0.7684,0.7033,0.7157,few-shot,2,1,1,0.5
400,QWEN2,0.6989,0.7343,0.7033,0.7319,few-shot,1,1,1,0.2
401,GEMMA2-27B,0.6975,0.7244,0.703,0.7405,few-shot,2,2,2,0.5
402,GEMMA2-9B,0.7075,0.7517,0.7029,0.7242,zero-shot,3,2,,0.2
403,QWEN2.5_14B,0.6888,0.7682,0.7028,0.7147,few-shot,2,1,1,1.0
404,GEMMA2-9B,0.7111,0.7586,0.7027,0.7223,many-shot,1,2,1,1.0
405,GEMMA2-9B,0.712,0.76,0.7025,0.7212,many-shot,1,2,1,0.0
406,QWEN2.5_14B,0.6974,0.7805,0.7024,0.7152,many-shot,1,1,1,0.0
407,MISTRAL_NEMO,0.7036,0.7351,0.7023,0.7297,one-shot,1,2,2,0.2
408,GEMMA2-27B,0.7021,0.7149,0.7023,0.7448,many-shot,2,2,2,0.0
409,GEMMA2-27B,0.6964,0.7237,0.702,0.7389,few-shot,2,2,2,0.0
410,GEMMA2-27B,0.7085,0.7008,0.702,0.7562,many-shot,1,2,2,0.5
411,LLAMA3,0.7045,0.7684,0.702,0.713,few-shot,3,2,2,0.0
412,GEMMA2-27B,0.7084,0.701,0.7017,0.7548,many-shot,1,2,2,0.2
413,QWEN2,0.6885,0.7363,0.7016,0.7243,many-shot,1,1,2,0.0
414,GEMMA2-27B,0.7019,0.7129,0.7013,0.7442,many-shot,2,2,2,0.2
415,GEMMA2-27B,0.6951,0.7316,0.7012,0.726,one-shot,1,1,1,0.2
416,PHI3_MEDIUM,0.6955,0.7342,0.701,0.7262,one-shot,3,2,2,1.0
417,QWEN2.5_14B,0.6953,0.7781,0.7009,0.7136,many-shot,1,1,1,0.5
418,GEMMA2-27B,0.7093,0.6982,0.7009,0.7442,one-shot,1,1,2,0.5
419,GEMMA2-27B,0.6949,0.7242,0.7008,0.7378,few-shot,2,2,2,1.0
420,QWEN2.5_14B,0.6952,0.777,0.7004,0.7136,many-shot,1,1,1,0.2
421,LLAMA3,0.6905,0.7401,0.7004,0.7161,many-shot,2,2,2,1.0
422,GEMMA2-27B,0.7,0.713,0.7,0.7426,many-shot,2,2,2,0.5
423,LLAMA3.1,0.7039,0.7461,0.6999,0.7206,many-shot,2,2,2,0.0
424,GEMMA2-27B,0.6876,0.7459,0.6999,0.7215,zero-shot,1,1,,0.2
425,LLAMA3,0.6997,0.7778,0.6999,0.7011,few-shot,2,2,2,0.2
426,QWEN2.5_14B,0.6857,0.7682,0.6998,0.7093,few-shot,1,1,1,1.0
427,GEMMA2-27B,0.6873,0.7453,0.6997,0.7211,zero-shot,1,1,,0.5
428,LLAMA3,0.6861,0.7329,0.6995,0.7163,many-shot,1,1,2,0.2
429,GEMMA2-9B,0.7094,0.7552,0.6995,0.7187,many-shot,1,2,1,0.5
430,QWEN2.5_14B,0.697,0.7773,0.6994,0.7131,many-shot,2,1,1,0.2
431,QWEN2.5_14B,0.6971,0.7775,0.6994,0.7131,many-shot,2,1,1,0.0
432,GEMMA2-9B,0.7083,0.7566,0.6994,0.718,many-shot,1,2,1,0.2
433,GEMMA2-27B,0.6867,0.7454,0.6991,0.7206,zero-shot,1,1,,0.0
434,GEMMA2-27B,0.6881,0.7428,0.6991,0.7217,zero-shot,2,1,,0.2
435,QWEN2.5_14B,0.6855,0.7684,0.6991,0.7088,few-shot,1,1,1,0.2
436,LLAMA3.1,0.6974,0.7122,0.699,0.7292,one-shot,3,2,2,0.0
437,MISTRAL_NEMO,0.7448,0.6793,0.6988,0.7458,one-shot,2,1,1,0.2
438,GEMMA2-27B,0.6936,0.7285,0.6987,0.7238,one-shot,1,1,1,0.5
439,QWEN2.5_14B,0.6851,0.768,0.6987,0.7082,few-shot,1,1,1,0.0
440,LLAMA3,0.6841,0.7342,0.6984,0.7129,many-shot,1,1,2,0.0
441,LLAMA3.1,0.6952,0.713,0.6984,0.7286,one-shot,3,2,2,0.2
442,PHI3_MEDIUM,0.6958,0.7684,0.6984,0.7122,few-shot,3,2,2,0.5
443,GEMMA2-27B,0.6876,0.7415,0.6982,0.7211,zero-shot,2,1,,0.0
444,GEMMA2-27B,0.7001,0.7113,0.6982,0.7254,few-shot,1,1,2,0.2
445,QWEN2,0.7035,0.7462,0.6979,0.7195,many-shot,1,2,2,0.0
446,PHI3_MEDIUM,0.6968,0.7731,0.6979,0.7113,few-shot,3,2,2,0.2
447,MISTRAL_NEMO,0.7355,0.6842,0.6977,0.741,one-shot,2,1,1,0.5
448,GEMMA2-9B,0.7118,0.7561,0.6976,0.7152,many-shot,2,2,1,0.5
449,GEMMA2-9B,0.7116,0.7557,0.6975,0.7152,many-shot,2,2,1,0.0
450,QWEN2,0.7023,0.7454,0.6975,0.7195,many-shot,1,2,2,0.2
451,QWEN2.5_14B,0.6957,0.7766,0.6975,0.7109,many-shot,2,1,1,0.5
452,QWEN2,0.6845,0.7322,0.6975,0.7206,many-shot,1,1,2,0.2
453,PHI3_MEDIUM,0.697,0.7744,0.6971,0.7103,few-shot,3,2,2,0.0
454,QWEN2.5_14B,0.6835,0.7657,0.6971,0.7071,few-shot,1,1,1,0.5
455,LLAMA3.1,0.7488,0.6691,0.6971,0.7399,many-shot,1,1,2,0.2
456,LLAMA3.1,0.6936,0.7135,0.697,0.727,one-shot,3,2,2,1.0
457,LLAMA3.1,0.706,0.6894,0.6969,0.7183,few-shot,1,1,2,1.0
458,GEMMA2-27B,0.6859,0.7407,0.6969,0.719,zero-shot,2,1,,0.5
459,QWEN2,0.703,0.7364,0.6969,0.7217,many-shot,2,2,2,0.0
460,LLAMA3.1,0.7004,0.7432,0.6969,0.7174,many-shot,2,2,2,0.2
461,QWEN2.5_14B,0.695,0.7748,0.6964,0.7098,many-shot,2,1,1,1.0
462,MISTRAL_NEMO,0.6896,0.7043,0.6962,0.731,one-shot,1,2,1,1.0
463,GEMMA2-27B,0.6989,0.7087,0.6961,0.7243,few-shot,1,1,2,0.0
464,GEMMA2-9B,0.7001,0.7474,0.696,0.7147,one-shot,2,2,1,1.0
465,QWEN2,0.6974,0.7381,0.696,0.7217,many-shot,1,1,1,0.0
466,GEMMA2-27B,0.6903,0.7285,0.696,0.7206,one-shot,1,1,1,1.0
467,QWEN2,0.6849,0.7258,0.6959,0.7233,one-shot,3,2,2,0.2
468,MISTRAL_NEMO,0.738,0.6834,0.6958,0.7421,few-shot,2,1,2,0.5
469,LLAMA3,0.6819,0.7394,0.6958,0.7114,few-shot,1,1,2,0.0
470,LLAMA3,0.6811,0.7408,0.6956,0.7109,few-shot,1,1,2,0.2
471,GEMMA2-27B,0.7001,0.6962,0.6955,0.7356,one-shot,1,1,2,1.0
472,QWEN2,0.71,0.7347,0.6952,0.7233,many-shot,3,2,2,0.0
473,LLAMA3,0.6878,0.7298,0.6951,0.6966,few-shot,1,2,2,0.2
474,GEMMA2-27B,0.6938,0.7427,0.6951,0.7179,few-shot,1,2,1,0.0
475,GEMMA2-27B,0.7013,0.6937,0.695,0.7383,one-shot,1,1,2,0.0
476,LLAMA3.1,0.747,0.667,0.6949,0.7394,many-shot,1,1,2,0.0
477,GEMMA2-27B,0.6931,0.7219,0.6949,0.7222,one-shot,2,1,1,1.0
478,LLAMA3.1,0.698,0.7422,0.6949,0.7157,many-shot,2,2,2,0.5
479,GEMMA2-9B,0.7089,0.753,0.6948,0.7125,many-shot,2,2,1,0.2
480,GEMMA2-27B,0.6946,0.7438,0.6948,0.7168,few-shot,1,2,1,1.0
481,QWEN2,0.6879,0.7273,0.6946,0.7211,few-shot,1,1,1,0.5
482,GEMMA2-27B,0.6937,0.7414,0.6946,0.7179,few-shot,1,2,1,0.2
483,QWEN2,0.6837,0.7253,0.6946,0.7217,one-shot,3,2,2,0.5
484,GEMMA2-27B,0.6928,0.7198,0.6945,0.7233,one-shot,2,1,1,0.0
485,GEMMA2-27B,0.6946,0.709,0.6944,0.7211,few-shot,1,1,2,0.5
486,GEMMA2-27B,0.6818,0.7414,0.6944,0.7152,zero-shot,1,1,,1.0
487,MISTRAL_NEMO,0.6968,0.7314,0.6943,0.721,one-shot,1,2,2,0.5
488,GEMMA2-27B,0.7008,0.6918,0.694,0.7383,one-shot,1,1,2,0.2
489,LLAMA3.1,0.6906,0.7101,0.694,0.7238,one-shot,3,2,2,0.5
490,GEMMA2-27B,0.6835,0.7358,0.694,0.7168,zero-shot,2,1,,1.0
491,QWEN2,0.7021,0.7222,0.6939,0.7254,few-shot,1,2,2,0.0
492,GEMMA2-9B,0.6948,0.7536,0.6939,0.7109,one-shot,2,2,2,1.0
493,GEMMA2-9B,0.7058,0.7548,0.6938,0.7104,few-shot,2,2,1,0.2
494,QWEN2,0.6876,0.7103,0.6938,0.7297,zero-shot,1,2,,0.0
495,GEMMA2-9B,0.7033,0.7547,0.6936,0.7097,few-shot,1,2,1,0.2
496,GEMMA2-9B,0.699,0.7359,0.6936,0.7157,zero-shot,2,1,,0.2
497,GEMMA2-9B,0.7024,0.7542,0.6934,0.7097,few-shot,1,2,1,0.0
498,GEMMA2-9B,0.7029,0.7515,0.6934,0.7108,few-shot,1,2,1,0.5
499,QWEN2,0.7079,0.732,0.6933,0.7217,many-shot,3,2,2,0.2
500,QWEN2,0.7011,0.7223,0.6932,0.7238,few-shot,2,2,2,0.2
501,LLAMA3,0.7034,0.7724,0.6931,0.6935,few-shot,2,2,2,0.5
502,GEMMA2-9B,0.6982,0.7356,0.693,0.7152,zero-shot,2,1,,0.0
503,GEMMA2-27B,0.6917,0.74,0.6929,0.7157,few-shot,1,2,1,0.5
504,QWEN2,0.7016,0.7215,0.6929,0.7243,few-shot,1,2,2,0.2
505,LLAMA3.1,0.7346,0.6846,0.6928,0.7355,many-shot,3,2,2,1.0
506,GEMMA2-9B,0.7047,0.7539,0.6927,0.7088,few-shot,2,2,1,0.0
507,MISTRAL_NEMO,0.7552,0.6671,0.6926,0.7544,one-shot,3,2,1,1.0
508,GEMMA2-9B,0.6962,0.7423,0.6925,0.712,one-shot,2,2,1,0.0
509,GEMMA2-27B,0.6847,0.7331,0.6924,0.7179,zero-shot,2,2,,1.0
510,QWEN2,0.6813,0.7223,0.6923,0.7195,one-shot,3,2,2,0.0
511,QWEN2,0.7014,0.7225,0.6923,0.7227,few-shot,1,2,2,0.5
512,QWEN2,0.6942,0.7331,0.6922,0.719,many-shot,1,1,1,0.2
513,LLAMA3,0.6745,0.7297,0.6922,0.7018,one-shot,1,1,2,1.0
514,GEMMA2-9B,0.7034,0.7523,0.6921,0.7088,few-shot,2,2,1,0.5
515,LLAMA3.1,0.7321,0.6922,0.6921,0.7308,few-shot,3,2,2,0.5
516,QWEN2,0.6973,0.7373,0.692,0.7147,many-shot,1,2,2,0.5
517,GEMMA2-9B,0.7032,0.7484,0.6919,0.7104,many-shot,2,2,1,1.0
518,QWEN2,0.6791,0.727,0.6918,0.7147,many-shot,1,1,2,0.5
519,GEMMA2-27B,0.6887,0.7237,0.6917,0.7211,few-shot,2,2,1,0.2
520,GEMMA2-27B,0.6895,0.7176,0.6917,0.72,one-shot,2,1,1,0.2
521,MISTRAL_NEMO,0.6959,0.7021,0.6916,0.7227,many-shot,2,1,2,1.0
522,LLAMA3,0.6736,0.7311,0.6914,0.7034,few-shot,2,1,2,0.2
523,GEMMA2-9B,0.6992,0.7495,0.6913,0.7086,few-shot,1,2,1,1.0
524,QWEN2,0.7061,0.7297,0.6913,0.72,many-shot,3,2,2,0.5
525,GEMMA2-27B,0.6826,0.7289,0.6906,0.7174,zero-shot,2,2,,0.0
526,QWEN2,0.6839,0.7264,0.6906,0.7147,few-shot,2,1,1,0.5
527,MISTRAL_NEMO,0.7014,0.6814,0.6905,0.7203,many-shot,2,1,1,1.0
528,GEMMA2-9B,0.6952,0.7406,0.6905,0.7098,one-shot,2,2,1,0.5
529,GEMMA2-9B,0.6933,0.7507,0.6905,0.7066,one-shot,2,2,2,0.2
530,QWEN2,0.683,0.7211,0.6904,0.7184,few-shot,1,1,1,1.0
531,LLAMA3.1,0.7029,0.7362,0.6904,0.7125,many-shot,1,2,2,0.0
532,GEMMA2-9B,0.6935,0.7505,0.6904,0.7066,one-shot,2,2,2,0.0
533,GEMMA2-9B,0.7104,0.6789,0.6903,0.7071,few-shot,2,1,2,0.5
534,GEMMA2-27B,0.6824,0.7286,0.6903,0.7168,zero-shot,2,2,,0.2
535,MISTRAL_NEMO,0.6925,0.6885,0.6903,0.7163,few-shot,1,1,1,1.0
536,GEMMA2-27B,0.6929,0.6881,0.6902,0.7512,one-shot,1,2,2,0.0
537,GEMMA2-9B,0.6937,0.7494,0.6902,0.7066,one-shot,2,2,2,0.5
538,QWEN2,0.6914,0.7328,0.6901,0.7157,many-shot,1,1,1,0.5
539,GEMMA2-27B,0.6918,0.7045,0.6901,0.72,few-shot,1,1,2,1.0
540,LLAMA3,0.6771,0.7266,0.6901,0.7062,many-shot,1,1,2,0.5
541,GEMMA2-27B,0.6873,0.7201,0.69,0.7206,few-shot,2,2,1,0.5
542,GEMMA2-9B,0.6962,0.7468,0.69,0.7088,zero-shot,1,1,,1.0
543,GEMMA2-27B,0.6917,0.6886,0.6898,0.7496,one-shot,1,2,2,1.0
544,GEMMA2-27B,0.6872,0.7154,0.6897,0.7184,one-shot,2,1,1,0.5
545,GEMMA2-9B,0.6933,0.7388,0.6895,0.7093,one-shot,2,2,1,0.2
546,QWEN2,0.698,0.7186,0.6894,0.7206,few-shot,2,2,2,0.0
547,GEMMA2-27B,0.6814,0.7286,0.6893,0.7152,zero-shot,2,2,,0.5
548,GEMMA2-9B,0.6934,0.733,0.6893,0.7104,zero-shot,2,1,,1.0
549,GEMMA2-9B,0.6944,0.732,0.689,0.7109,zero-shot,2,1,,0.5
550,GEMMA2-27B,0.6864,0.7213,0.6889,0.7179,few-shot,2,2,1,0.0
551,LLAMA3,0.6712,0.7286,0.6888,0.7018,few-shot,2,1,2,0.0
552,LLAMA3.1,0.7013,0.7354,0.6883,0.7098,many-shot,1,2,2,0.2
553,QWEN2,0.6833,0.7039,0.6883,0.7254,zero-shot,1,2,,0.2
554,QWEN2,0.6941,0.7201,0.6883,0.719,many-shot,2,1,1,0.0
555,QWEN2,0.6784,0.7191,0.6883,0.7174,one-shot,3,2,2,1.0
556,LLAMA3.1,0.673,0.7256,0.6881,0.7141,many-shot,2,2,1,0.0
557,GEMMA2-9B,0.6968,0.748,0.6881,0.7039,one-shot,1,2,2,0.5
558,QWEN2,0.6824,0.7036,0.688,0.7254,zero-shot,1,2,,0.5
559,GEMMA2-2B,0.6844,0.6964,0.6879,0.7217,many-shot,3,2,2,0.5
560,GEMMA2-9B,0.6947,0.743,0.6879,0.7071,zero-shot,1,1,,0.2
561,GEMMA2-9B,0.7081,0.6761,0.6878,0.7077,few-shot,2,1,2,0.0
562,GEMMA2-9B,0.695,0.7488,0.6877,0.7028,one-shot,1,2,2,0.0
563,GEMMA2-27B,0.6853,0.7212,0.6876,0.7157,few-shot,2,2,1,1.0
564,QWEN2,0.6793,0.7245,0.6876,0.7118,few-shot,2,1,1,1.0
565,GEMMA2-9B,0.6951,0.7479,0.6875,0.7028,one-shot,1,2,2,0.2
566,QWEN2,0.6931,0.7173,0.6874,0.719,many-shot,2,1,1,0.5
567,GEMMA2-9B,0.6945,0.7422,0.6873,0.7066,zero-shot,1,1,,0.0
568,GEMMA2-27B,0.6903,0.685,0.6873,0.7496,one-shot,1,2,2,0.2
569,QWEN2,0.6983,0.7244,0.687,0.7152,many-shot,3,2,2,1.0
570,GEMMA2-9B,0.7859,0.6531,0.6869,0.728,many-shot,1,1,2,0.0
571,QWEN2,0.6945,0.7178,0.6869,0.7184,many-shot,2,1,1,0.2
572,MISTRAL_NEMO,0.6875,0.696,0.6868,0.7089,few-shot,3,2,1,1.0
573,GEMMA2-2B,0.6846,0.6925,0.6866,0.7211,many-shot,3,2,2,0.2
574,GEMMA2-9B,0.6945,0.7408,0.6865,0.7066,zero-shot,1,1,,0.5
575,LLAMA3.1,0.7301,0.6619,0.6863,0.734,many-shot,2,1,2,0.2
576,MISTRAL_NEMO,0.6771,0.7205,0.6862,0.7157,one-shot,2,2,2,1.0
577,GEMMA2-27B,0.6913,0.6863,0.6862,0.7222,few-shot,2,1,2,0.2
578,GEMMA2-2B,0.6828,0.6942,0.6861,0.7195,many-shot,3,2,2,0.0
579,GEMMA2-9B,0.7,0.7295,0.6858,0.7082,zero-shot,2,2,,0.2
580,QWEN2,0.6937,0.7181,0.6857,0.7157,few-shot,1,2,2,1.0
581,GEMMA2-9B,0.6972,0.7442,0.6856,0.7023,few-shot,2,2,1,1.0
582,QWEN2,0.6934,0.7153,0.6856,0.7172,few-shot,2,2,2,0.5
583,LLAMA3,0.6709,0.7297,0.6856,0.7007,few-shot,1,1,2,0.5
584,LLAMA3.1,0.7327,0.6603,0.6855,0.7356,many-shot,2,1,2,0.0
585,GEMMA2-9B,0.6946,0.7357,0.6855,0.7045,one-shot,1,2,1,0.5
586,GEMMA2-9B,0.7051,0.6734,0.6854,0.7066,few-shot,2,1,2,0.2
587,GEMMA2-9B,0.6857,0.6872,0.6854,0.6998,few-shot,1,1,2,1.0
588,GEMMA2-9B,0.7001,0.7288,0.6852,0.7077,zero-shot,2,2,,0.0
589,QWEN2,0.6934,0.7243,0.685,0.7098,many-shot,2,2,2,0.5
590,QWEN2,0.6799,0.6988,0.6848,0.7233,zero-shot,1,2,,1.0
591,QWEN2,0.6768,0.7143,0.6847,0.7141,one-shot,3,2,1,0.2
592,GEMMA2-27B,0.6882,0.6864,0.6845,0.7195,few-shot,2,1,2,0.5
593,GEMMA2-9B,0.7859,0.6506,0.6843,0.7274,many-shot,1,1,2,0.2
594,QWEN2,0.706,0.7203,0.684,0.7147,few-shot,3,2,2,0.0
595,GEMMA2-9B,0.6924,0.7313,0.6839,0.7039,one-shot,1,2,1,0.2
596,GEMMA2-27B,0.6843,0.7159,0.6837,0.7077,few-shot,1,1,1,0.5
